Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201307,01,001,3,6,Autauga County                ,87,87,22681313,0,0,0,0,0,0,0,0,0,87,87,22681313,0,0,0,0,0,0,0,0,0
201307,01,007,3,6,Bibb County                   ,12,12,2064184,0,0,0,0,0,0,0,0,0,3,3,530000,0,0,0,0,0,0,0,0,0
201307,01,009,3,6,Blount County                 ,2,2,354900,0,0,0,0,0,0,0,0,0,2,2,354900,0,0,0,0,0,0,0,0,0
201307,01,021,3,6,Chilton County                ,12,12,1440145,0,0,0,0,0,0,0,0,0,9,9,1040914,0,0,0,0,0,0,0,0,0
201307,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201307,01,073,3,6,Jefferson County              ,692,692,176014740,1,2,201268,2,8,793108,25,355,31998466,667,667,170719584,1,2,201268,2,8,793108,19,312,29848466
201307,01,081,3,6,Lee County                    ,422,422,120639937,0,0,0,0,0,0,0,0,0,404,404,116799817,0,0,0,0,0,0,0,0,0
201307,01,115,3,6,St. Clair County              ,42,42,6212895,0,0,0,0,0,0,0,0,0,41,41,6043262,0,0,0,0,0,0,0,0,0
201307,01,117,3,6,Shelby County                 ,439,439,92221947,0,0,0,0,0,0,7,83,4637625,208,208,41314159,0,0,0,0,0,0,0,0,0
201307,01,127,3,6,Walker County                 ,6,6,934800,0,0,0,0,0,0,0,0,0,6,6,934800,0,0,0,0,0,0,0,0,0
201307,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201307,02,016,4,9,Aleutians West Census Area    ,1,1,98118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201307,02,020,4,9,Anchorage Borough             ,317,317,98710775,0,0,0,0,0,0,2,13,2254723,317,317,98710775,0,0,0,0,0,0,2,13,2254723
201307,02,020,4,9,Anchorage Municipality        ,317,317,98710775,0,0,0,0,0,0,2,13,2254723,317,317,98710775,0,0,0,0,0,0,2,13,2254723
201307,02,050,4,9,Bethel Census Area            ,4,4,1350000,0,0,0,0,0,0,0,0,0,4,4,1350000,0,0,0,0,0,0,0,0,0
201307,02,060,4,9,Bristol Bay Borough           ,1,1,150000,0,0,0,0,0,0,0,0,0,1,1,150000,0,0,0,0,0,0,0,0,0
201307,02,070,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201307,02,090,4,9,Fairbanks North Star Borough  ,34,34,6254021,0,0,0,0,0,0,0,0,0,1,1,189000,0,0,0,0,0,0,0,0,0
201307,02,100,4,9,Haines Borough                ,6,6,1409559,0,0,0,0,0,0,0,0,0,6,6,1409559,0,0,0,0,0,0,0,0,0
201307,02,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201307,02,110,4,9,Juneau Borough                ,37,37,8672545,4,8,1704477,1,4,447888,3,36,3151968,37,37,8672545,4,8,1704477,1,4,447888,3,36,3151968
201307,02,110,4,9,Juneau City and Borough       ,37,37,8672545,4,8,1704477,1,4,447888,3,36,3151968,37,37,8672545,4,8,1704477,1,4,447888,3,36,3151968
