Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201906,01,001,3,6,Autauga County                ,128,128,38283417,0,0,0,0,0,0,0,0,0,128,128,38283417,0,0,0,0,0,0,0,0,0
201906,01,007,3,6,Bibb County                   ,8,8,2023387,0,0,0,0,0,0,0,0,0,5,5,1258000,0,0,0,0,0,0,0,0,0
201906,01,009,3,6,Blount County                 ,15,15,2332189,0,0,0,0,0,0,0,0,0,15,15,2332189,0,0,0,0,0,0,0,0,0
201906,01,021,3,6,Chilton County                ,17,17,3016375,0,0,0,0,0,0,0,0,0,15,15,2684232,0,0,0,0,0,0,0,0,0
201906,01,073,3,6,Jefferson County              ,730,730,209820942,2,4,494658,0,0,0,1,9,907557,501,501,147413432,0,0,0,0,0,0,0,0,0
201906,01,081,3,6,Lee County                    ,594,594,163582918,16,32,3818458,10,31,3972576,6,90,19610466,421,421,114803240,13,26,3025436,9,27,3418857,3,19,1780104
201906,01,083,3,6,Limestone County              ,122,122,25509862,0,0,0,0,0,0,0,0,0,122,122,25509862,0,0,0,0,0,0,0,0,0
201906,01,089,3,6,Madison County                ,1597,1597,230927204,0,0,0,15,60,1050000,0,0,0,1593,1593,229987009,0,0,0,15,60,1050000,0,0,0
201906,01,113,3,6,Russell County                ,86,86,12360758,1,2,143676,0,0,0,0,0,0,78,78,11390839,1,2,143676,0,0,0,0,0,0
201906,01,115,3,6,St. Clair County              ,101,101,19647289,0,0,0,0,0,0,0,0,0,96,96,18551555,0,0,0,0,0,0,0,0,0
201906,01,117,3,6,Shelby County                 ,544,544,126559923,0,0,0,0,0,0,0,0,0,212,212,46122950,0,0,0,0,0,0,0,0,0
201906,01,127,3,6,Walker County                 ,10,10,2122077,0,0,0,0,0,0,0,0,0,9,9,1914299,0,0,0,0,0,0,0,0,0
201906,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201906,02,016,4,9,Aleutians West Census Area    ,2,2,196236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201906,02,020,4,9,Anchorage Municipality        ,408,408,127807401,0,0,0,7,25,4343084,9,79,12489548,0,0,0,0,0,0,0,0,0,0,0,0
201906,02,050,4,9,Bethel Census Area            ,2,2,570356,1,2,345783,0,0,0,0,0,0,2,2,570356,1,2,345783,0,0,0,0,0,0
201906,02,060,4,9,Bristol Bay Borough           ,7,7,575000,0,0,0,0,0,0,0,0,0,7,7,575000,0,0,0,0,0,0,0,0,0
201906,02,070,4,9,Dillingham Census Area        ,0,0,0,1,2,301442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201906,02,090,4,9,Fairbanks North Star Borough  ,1,1,384146,0,0,0,0,0,0,0,0,0,1,1,384146,0,0,0,0,0,0,0,0,0
201906,02,100,4,9,Haines Borough                ,5,5,1274542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201906,02,105,4,9,Hoonah-Angoon Census Area     ,2,2,383382,0,0,0,0,0,0,0,0,0,2,2,383382,0,0,0,0,0,0,0,0,0
201906,02,110,4,9,Juneau City and Borough       ,25,25,4465125,1,2,288784,1,4,456905,1,5,977483,25,25,4465125,1,2,288784,1,4,456905,1,5,977483
